id,dienbienca,nhanvien
ff4f0026,639af11c,a782b548
e3ceaefc,141d45fb,1
4f2f14f8,47db8de5,a8f5e11b
3b960e42,47db8de5,4613f12e
650e16b3,95ddb45b,6a9674f0
a0f947c1,95ddb45b,2bab3c2d
41a84295,95ddb45b,a8f5e11b
0f505519,49f5dd92,1b836613
1227c963,49f5dd92,09659890
077ff975,49f5dd92,1e6859b8
7c1accd7,54820a72,a6e2979c
b0d65bcb,533a9d7e,a6e2979c
eaf72501,593d9e84,a782b548
54549999,1a320585,fd88ab06
f39cc54f,6a25cd7d,1cbc08bf
0f9ba608,6a25cd7d,e85ebd9b
22f80934,6a25cd7d,efc04e94
e87e7c44,fd96abc4,bc812b63
3414f250,186c3674,1b836613
6882933d,186c3674,21827101
21f8440a,8bfdcc1b,22083beb
adf08071,22c65aee,a6e2979c
724d4f79,dd5cc8c1,040b166c
e763b373,10d2f483,a6e2979c
f4161827,3500eab1,a782b548
f657bcbb,596420ce,a782b548
edc15af1,568330de,0ebf75ce
28a52239,568330de,2
89bf6d21,568330de,4ae22ec5
6a37ae28,568330de,906a1c26
ff6f6f7f,bbde61c3,2
5f32e017,bbde61c3,a6e2979c
534ec7db,bbde61c3,4613f12e
005b2ab5,456d2354,2
7dcf7f1b,456d2354,a782b548
bd5cd9db,25f220c5,09659890
201dc84b,25f220c5,1b836613
76af4d19,25f220c5,40e103fe
8ebce9d8,e18faa50,2
30ff69e0,70936783,a6e2979c
3a5991b4,3b83093e,a6e2979c
ef244759,9dbe2ce2,2
5932c1d7,6a27190e,4613f12e
0f267c07,6a27190e,2
47346db3,bd23f08f,21827101
b673359a,bd23f08f,09659890
176e5e3c,6493c74a,1b836613
2b303c21,6493c74a,21827101
104695b4,0ae8beff,1e6859b8
717c227e,0ae8beff,2
44cbf0e3,fe4ada13,a6e2979c
2adf33f7,2d25b142,040b166c
189a3683,59383949,eda5cc45
9fbc8857,59383949,ff4d1a7d
fbbc83ab,59383949,21512d39
bd51e29c,57b5cbc6,2
fed5b2fc,59383949,3a829c22
7394fe0c,dae69e3c,6eb760de
32606177,6659aa8d,6eb760de
0848c49e,2b9edcd2,1
f0972569,08247df8,a6e2979c
e4a41872,cc019363,ff4d1a7d
